season,week,home_team,away_team,home_points,away_points,neutral_site,home_conference,away_conference
2023,7,Hamilton,Williams,17.0,24.0,False,NESCAC,NESCAC
2023,7,South Carolina State,Tennessee Tech,7.0,28.0,False,MEAC,Big South-OVC
2023,7,Hanover College,Manchester,34.0,0.0,False,Heartland,Heartland
2023,7,Mount St. Joseph,Anderson (IN),77.0,14.0,False,Heartland,Heartland
2023,7,Columbia,Pennsylvania,17.0,20.0,False,Ivy,Ivy
2023,7,Rose-Hulman,Bluffton,52.0,28.0,False,Heartland,Heartland
2023,7,Concordia Moorhead,Hamline University,58.0,14.0,False,Minnesota,Minnesota
2023,7,Fort Hays State,Nebraska-Kearney,31.0,17.0,False,Mid America,Mid America
2023,7,Rowan,Christopher Newport,18.0,21.0,False,New Jersey,New Jersey
2023,7,Simpson College (IA),Coe College,0.0,28.0,False,American Rivers,American Rivers
2023,7,St. Norbert,Aurora,9.0,37.0,False,NACC,NACC
2023,7,Washington University (St. Louis),Augustana (IL),17.0,35.0,False,CCIW,CCIW
2023,7,Lenoir-Rhyne,Wilson,47.0,3.0,False,South Atlantic,South Atlantic
2023,7,Westfield State,UMass Dartmouth,23.0,26.0,False,MSCAC,MSCAC
2023,7,Ball State,Toledo,6.0,13.0,False,Mid-American,Mid-American
2023,7,Emporia State University,Washburn,38.0,23.0,False,Mid America,Mid America
2023,7,Wilmington (OH),Marietta,15.0,45.0,False,Ohio,Ohio
2023,7,Wisconsin-Platteville,Wisconsin-Lacrosse,17.0,21.0,False,Wisconsin,Wisconsin
2023,7,Wisconsin-River Falls,Wisconsin-Whitewater,14.0,21.0,False,Wisconsin,Wisconsin
